Extract_Date,Report_Period,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
"2018, April 18, Wednesday 03:12:41 PM","2016, February 01, Monday 12:00:00 AM",T3,Departure,Domestic,268720
"2018, April 18, Wednesday 03:12:41 PM","2014, April 01, Tuesday 12:00:00 AM",T6,Departure,Domestic,271751
"2018, April 18, Wednesday 03:12:41 PM","2012, November 01, Thursday 12:00:00 AM",T8,Arrival,Domestic,118738
"2019, November 10, Sunday 06:01:31 AM","2019, September 01, Sunday 12:00:00 AM",T2,Arrival,Domestic,251774
"2018, April 18, Wednesday 03:12:41 PM","2009, December 01, Tuesday 12:00:00 AM",T8,Arrival,International,4928
"2018, April 18, Wednesday 03:12:41 PM","2011, May 01, Sunday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,95
"2019, November 10, Sunday 06:01:31 AM","2019, September 01, Sunday 12:00:00 AM",T4,Departure,International,69891
"2018, April 18, Wednesday 03:12:41 PM","2014, January 01, Wednesday 12:00:00 AM",T6,Arrival,International,13090
"2018, April 18, Wednesday 03:12:41 PM","2009, October 01, Thursday 12:00:00 AM",T6,Departure,Domestic,191052
"2018, April 18, Wednesday 03:12:41 PM","2008, May 01, Thursday 12:00:00 AM",T8,Departure,International,4914
"2018, April 18, Wednesday 03:12:41 PM","2008, April 01, Tuesday 12:00:00 AM",T4,Departure,Domestic,389206
"2019, March 10, Sunday 06:01:32 AM","2019, February 01, Friday 12:00:00 AM",T7,Departure,International,33012
"2018, April 18, Wednesday 03:12:41 PM","2009, March 01, Sunday 12:00:00 AM",TBIT,Departure,Domestic,4391
"2018, April 18, Wednesday 03:12:41 PM","2011, February 01, Tuesday 12:00:00 AM",T7,Arrival,International,20557
"2018, April 18, Wednesday 03:12:41 PM","2016, October 01, Saturday 12:00:00 AM",T7,Departure,International,42095
"2018, April 18, Wednesday 03:12:41 PM","2012, January 01, Sunday 12:00:00 AM",TBIT,Departure,Domestic,4944
"2018, April 18, Wednesday 03:12:41 PM","2016, March 01, Tuesday 12:00:00 AM",T6,Departure,International,57752
"2018, April 18, Wednesday 03:12:41 PM","2015, March 01, Sunday 12:00:00 AM",T8,Departure,Domestic,166965
"2018, April 18, Wednesday 03:12:41 PM","2010, May 01, Saturday 12:00:00 AM",T6,Arrival,International,10178
"2020, December 07, Monday 01:58:36 PM","2020, September 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,569
"2018, April 18, Wednesday 03:12:41 PM","2012, January 01, Sunday 12:00:00 AM",T1,Departure,Domestic,336297
"2018, April 18, Wednesday 03:12:41 PM","2010, October 01, Friday 12:00:00 AM",T5,Arrival,Domestic,233735
"2018, April 18, Wednesday 03:12:41 PM","2017, April 01, Saturday 12:00:00 AM",T2,Departure,Domestic,37991
"2018, April 18, Wednesday 03:12:41 PM","2006, October 01, Sunday 12:00:00 AM",Imperial Terminal,Arrival,Domestic,266
"2018, April 18, Wednesday 03:12:41 PM","2015, June 01, Monday 12:00:00 AM",T2,Arrival,International,190897
"2018, April 18, Wednesday 03:12:41 PM","2009, October 01, Thursday 12:00:00 AM",T1,Arrival,Domestic,373866
"2018, April 18, Wednesday 03:12:41 PM","2011, January 01, Saturday 12:00:00 AM",T3,Arrival,International,16047
"2018, April 18, Wednesday 03:12:41 PM","2011, April 01, Friday 12:00:00 AM",T2,Arrival,International,182949
"2018, April 18, Wednesday 03:12:41 PM","2006, June 01, Thursday 12:00:00 AM",TBIT,Arrival,Domestic,2824
"2018, April 18, Wednesday 03:12:41 PM","2012, October 01, Monday 12:00:00 AM",T4,Departure,Domestic,420512
"2018, April 18, Wednesday 03:12:41 PM","2012, April 01, Sunday 12:00:00 AM",T4,Arrival,International,14194
"2018, April 18, Wednesday 03:12:41 PM","2011, January 01, Saturday 12:00:00 AM",T8,Arrival,International,3626
"2018, April 18, Wednesday 03:12:41 PM","2013, January 01, Tuesday 12:00:00 AM",Imperial Terminal,Departure,Domestic,156
"2018, April 18, Wednesday 03:12:41 PM","2010, August 01, Sunday 12:00:00 AM",T6,Departure,International,8033
"2020, August 27, Thursday 07:15:54 AM","2020, July 01, Wednesday 12:00:00 AM",T8,Departure,Domestic,4746
"2018, April 18, Wednesday 03:12:41 PM","2012, December 01, Saturday 12:00:00 AM",T7,Departure,Domestic,245171
"2018, April 18, Wednesday 03:12:41 PM","2009, January 01, Thursday 12:00:00 AM",T4,Arrival,Domestic,341683
"2019, May 28, Tuesday 06:24:45 AM","2019, April 01, Monday 12:00:00 AM",TBIT,Arrival,Domestic,5781
"2018, April 18, Wednesday 03:12:41 PM","2006, September 01, Friday 12:00:00 AM",T1,Arrival,Domestic,382011
"2018, April 18, Wednesday 03:12:41 PM","2013, August 01, Thursday 12:00:00 AM",T5,Departure,International,41482
"2018, April 18, Wednesday 03:12:41 PM","2016, October 01, Saturday 12:00:00 AM",T4,Departure,Domestic,324314
"2018, April 18, Wednesday 03:12:41 PM","2007, August 01, Wednesday 12:00:00 AM",T2,Departure,Domestic,115134
"2018, April 18, Wednesday 03:12:41 PM","2010, August 01, Sunday 12:00:00 AM",T4,Arrival,International,19846
"2018, April 18, Wednesday 03:12:41 PM","2016, June 01, Wednesday 12:00:00 AM",Miscellaneous Terminal,Departure,International,4589
"2020, August 10, Monday 06:01:25 AM","2020, July 01, Wednesday 12:00:00 AM",T3,Departure,Domestic,2520
"2018, April 18, Wednesday 03:12:41 PM","2012, February 01, Wednesday 12:00:00 AM",T6,Arrival,International,7164
"2018, April 18, Wednesday 03:12:41 PM","2008, September 01, Monday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,3
"2018, April 18, Wednesday 03:12:41 PM","2006, September 01, Friday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,209
"2018, April 18, Wednesday 03:12:41 PM","2015, July 01, Wednesday 12:00:00 AM",T6,Arrival,Domestic,377939
"2018, July 11, Wednesday 02:24:22 PM","2018, May 01, Tuesday 12:00:00 AM",T6,Arrival,International,65162
"2018, April 18, Wednesday 03:12:41 PM","2013, August 01, Thursday 12:00:00 AM",TBIT,Arrival,Domestic,8259
"2018, April 18, Wednesday 03:12:41 PM","2017, September 01, Friday 12:00:00 AM",T8,Departure,International,7064
"2018, April 18, Wednesday 03:12:41 PM","2017, December 01, Friday 12:00:00 AM",T6,Departure,International,113122
"2018, April 18, Wednesday 03:12:41 PM","2012, June 01, Friday 12:00:00 AM",TBIT,Arrival,Domestic,7568
"2018, September 26, Wednesday 09:27:08 AM","2018, August 01, Wednesday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,121990
"2018, April 18, Wednesday 03:12:41 PM","2015, April 01, Wednesday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,5236
"2018, April 18, Wednesday 03:12:41 PM","2009, May 01, Friday 12:00:00 AM",T8,Departure,International,5213
"2018, April 18, Wednesday 03:12:41 PM","2013, December 01, Sunday 12:00:00 AM",T4,Arrival,Domestic,385024
"2018, April 18, Wednesday 03:12:41 PM","2010, November 01, Monday 12:00:00 AM",TBIT,Departure,Domestic,3327
"2019, January 30, Wednesday 07:34:09 AM","2018, December 01, Saturday 12:00:00 AM",T4,Departure,Domestic,362205
"2018, April 18, Wednesday 03:12:41 PM","2011, November 01, Tuesday 12:00:00 AM",T7,Arrival,Domestic,197119
"2018, April 18, Wednesday 03:12:41 PM","2016, February 01, Monday 12:00:00 AM",TBIT,Arrival,Domestic,31788
"2018, April 18, Wednesday 03:12:41 PM","2010, April 01, Thursday 12:00:00 AM",T2,Arrival,Domestic,15151
"2018, April 18, Wednesday 03:12:41 PM","2015, September 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,83999
"2019, April 10, Wednesday 06:01:25 AM","2019, March 01, Friday 12:00:00 AM",T8,Departure,Domestic,141931
"2019, January 30, Wednesday 07:34:09 AM","2018, December 01, Saturday 12:00:00 AM",T4,Arrival,International,56770
"2018, April 18, Wednesday 03:12:41 PM","2012, September 01, Saturday 12:00:00 AM",T3,Departure,International,20119
"2018, April 18, Wednesday 03:12:41 PM","2018, March 01, Thursday 12:00:00 AM",T6,Arrival,Domestic,260463
"2018, April 18, Wednesday 03:12:41 PM","2010, January 01, Friday 12:00:00 AM",TBIT,Arrival,International,436044
"2018, April 18, Wednesday 03:12:41 PM","2010, February 01, Monday 12:00:00 AM",T2,Arrival,International,135455
"2018, April 18, Wednesday 03:12:41 PM","2008, March 01, Saturday 12:00:00 AM",T3,Arrival,Domestic,169336
"2020, February 28, Friday 08:21:30 AM","2020, January 01, Wednesday 12:00:00 AM",T8,Arrival,International,2213
"2018, April 18, Wednesday 03:12:41 PM","2006, June 01, Thursday 12:00:00 AM",T6,Arrival,Domestic,232429
"2018, April 18, Wednesday 03:12:41 PM","2008, September 01, Monday 12:00:00 AM",T4,Arrival,International,54113
"2018, April 18, Wednesday 03:12:41 PM","2010, July 01, Thursday 12:00:00 AM",TBIT,Departure,Domestic,4397
"2018, April 18, Wednesday 03:12:41 PM","2006, December 01, Friday 12:00:00 AM",Imperial Terminal,Arrival,Domestic,233
"2018, April 18, Wednesday 03:12:41 PM","2007, November 01, Thursday 12:00:00 AM",T8,Departure,Domestic,107009
"2018, April 18, Wednesday 03:12:41 PM","2016, June 01, Wednesday 12:00:00 AM",T4,Arrival,International,32657
"2018, April 18, Wednesday 03:12:41 PM","2015, December 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Departure,International,3444
"2018, April 18, Wednesday 03:12:41 PM","2006, January 01, Sunday 12:00:00 AM",T3,Departure,International,60948
"2018, April 18, Wednesday 03:12:41 PM","2009, May 01, Friday 12:00:00 AM",T6,Departure,International,4343
"2018, April 18, Wednesday 03:12:41 PM","2010, October 01, Friday 12:00:00 AM",T3,Arrival,International,17644
"2019, August 23, Friday 03:41:00 PM","2019, July 01, Monday 12:00:00 AM",T1,Arrival,Domestic,414473
"2018, April 18, Wednesday 03:12:41 PM","2008, August 01, Friday 12:00:00 AM",TBIT,Arrival,International,483348
"2018, April 18, Wednesday 03:12:41 PM","2016, January 01, Friday 12:00:00 AM",T1,Departure,Domestic,337777
"2018, April 18, Wednesday 03:12:41 PM","2011, January 01, Saturday 12:00:00 AM",T6,Departure,Domestic,193921
"2018, August 10, Friday 06:01:24 AM","2018, July 01, Sunday 12:00:00 AM",T8,Arrival,International,8740
"2018, April 18, Wednesday 03:12:41 PM","2006, July 01, Saturday 12:00:00 AM",T1,Arrival,Domestic,469516
"2018, April 18, Wednesday 03:12:41 PM","2015, August 01, Saturday 12:00:00 AM",T6,Departure,International,44118
"2018, April 18, Wednesday 03:12:41 PM","2013, September 01, Sunday 12:00:00 AM",T6,Departure,International,61400
"2018, April 18, Wednesday 03:12:41 PM","2009, October 01, Thursday 12:00:00 AM",T1,Departure,Domestic,371395
"2018, April 18, Wednesday 03:12:41 PM","2016, February 01, Monday 12:00:00 AM",T6,Arrival,Domestic,281221
"2018, April 18, Wednesday 03:12:41 PM","2007, November 01, Thursday 12:00:00 AM",T4,Departure,International,41566
"2020, March 10, Tuesday 06:01:27 AM","2020, February 01, Saturday 12:00:00 AM",T1,Arrival,Domestic,307015
"2018, April 18, Wednesday 03:12:41 PM","2014, July 01, Tuesday 12:00:00 AM",T3,Arrival,Domestic,385828
"2018, April 18, Wednesday 03:12:41 PM","2015, September 01, Tuesday 12:00:00 AM",T2,Departure,Domestic,39057
"2018, April 18, Wednesday 03:12:41 PM","2006, January 01, Sunday 12:00:00 AM",T5,Departure,Domestic,128138
"2018, April 18, Wednesday 03:12:41 PM","2014, November 01, Saturday 12:00:00 AM",T6,Departure,International,56134
"2018, April 18, Wednesday 03:12:41 PM","2015, October 01, Thursday 12:00:00 AM",T1,Departure,Domestic,353683
"2018, April 18, Wednesday 03:12:41 PM","2011, October 01, Saturday 12:00:00 AM",T7,Arrival,International,29663
"2019, September 10, Tuesday 06:01:34 AM","2019, August 01, Thursday 12:00:00 AM",T1,Arrival,Domestic,394225
"2018, April 18, Wednesday 03:12:41 PM","2011, April 01, Friday 12:00:00 AM",T2,Departure,International,186305
"2018, April 18, Wednesday 03:12:41 PM","2010, February 01, Monday 12:00:00 AM",T7,Arrival,Domestic,196771
"2018, April 18, Wednesday 03:12:41 PM","2014, September 01, Monday 12:00:00 AM",T3,Departure,International,2253
"2018, April 18, Wednesday 03:12:41 PM","2018, March 01, Thursday 12:00:00 AM",T7,Departure,International,48722
"2018, April 18, Wednesday 03:12:41 PM","2017, April 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,113022
"2018, April 18, Wednesday 03:12:41 PM","2009, December 01, Tuesday 12:00:00 AM",T8,Arrival,Domestic,142259
"2018, April 18, Wednesday 03:12:41 PM","2016, January 01, Friday 12:00:00 AM",T7,Arrival,International,74655
"2018, April 18, Wednesday 03:12:41 PM","2008, January 01, Tuesday 12:00:00 AM",T7,Departure,International,47921
"2018, April 18, Wednesday 03:12:41 PM","2014, December 01, Monday 12:00:00 AM",T3,Departure,Domestic,234102
"2018, April 18, Wednesday 03:12:41 PM","2014, March 01, Saturday 12:00:00 AM",T5,Departure,Domestic,357616
"2018, April 18, Wednesday 03:12:41 PM","2006, July 01, Saturday 12:00:00 AM",T2,Arrival,International,191247
"2018, April 18, Wednesday 03:12:41 PM","2016, March 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,93798
"2020, October 27, Tuesday 08:53:01 AM","2020, September 01, Tuesday 12:00:00 AM",T5,Arrival,Domestic,130950
"2018, April 18, Wednesday 03:12:41 PM","2015, December 01, Tuesday 12:00:00 AM",TBIT,Departure,Domestic,8467
"2018, April 18, Wednesday 03:12:41 PM","2011, November 01, Tuesday 12:00:00 AM",T6,Departure,Domestic,226705
"2018, April 18, Wednesday 03:12:41 PM","2016, October 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,2101
"2018, April 18, Wednesday 03:12:41 PM","2007, April 01, Sunday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,6
"2020, January 02, Thursday 10:43:42 AM","2019, November 01, Friday 12:00:00 AM",T8,Arrival,Domestic,130229
"2018, April 18, Wednesday 03:12:41 PM","2015, June 01, Monday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,100647
"2018, April 18, Wednesday 03:12:41 PM","2012, April 01, Sunday 12:00:00 AM",T4,Arrival,Domestic,436464
"2018, July 11, Wednesday 02:24:22 PM","2018, May 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,6184
"2020, April 08, Wednesday 09:58:08 AM","2020, February 01, Saturday 12:00:00 AM",T3,Arrival,Domestic,258654
"2018, April 18, Wednesday 03:12:41 PM","2010, September 01, Wednesday 12:00:00 AM",T2,Departure,Domestic,19860
"2018, April 18, Wednesday 03:12:41 PM","2012, May 01, Tuesday 12:00:00 AM",T3,Departure,Domestic,177153
"2018, July 11, Wednesday 02:24:22 PM","2018, June 01, Friday 12:00:00 AM",T8,Departure,Domestic,182939
"2018, April 18, Wednesday 03:12:41 PM","2013, January 01, Tuesday 12:00:00 AM",T4,Arrival,Domestic,366058
"2018, October 29, Monday 10:20:51 AM","2017, November 01, Wednesday 12:00:00 AM",TBIT,Arrival,International,661932
"2019, April 29, Monday 01:10:30 PM","2019, March 01, Friday 12:00:00 AM",TBIT,Arrival,Domestic,5066
"2018, April 18, Wednesday 03:12:41 PM","2008, July 01, Tuesday 12:00:00 AM",T4,Arrival,International,83465
"2018, April 18, Wednesday 03:12:41 PM","2008, October 01, Wednesday 12:00:00 AM",TBIT,Arrival,International,381995
"2018, April 18, Wednesday 03:12:41 PM","2017, May 01, Monday 12:00:00 AM",T8,Arrival,International,4249
"2018, April 18, Wednesday 03:12:41 PM","2014, April 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,72746
"2019, April 29, Monday 01:10:30 PM","2019, March 01, Friday 12:00:00 AM",T6,Arrival,Domestic,238396
"2020, January 02, Thursday 10:43:42 AM","2019, November 01, Friday 12:00:00 AM",T3,Arrival,Domestic,263101
"2018, April 18, Wednesday 03:12:41 PM","2014, February 01, Saturday 12:00:00 AM",T2,Arrival,International,166768
"2018, April 18, Wednesday 03:12:41 PM","2013, September 01, Sunday 12:00:00 AM",Imperial Terminal,Departure,Domestic,87
"2018, April 18, Wednesday 03:12:41 PM","2017, October 01, Sunday 12:00:00 AM",T2,Departure,Domestic,252630
"2018, April 18, Wednesday 03:12:41 PM","2011, February 01, Tuesday 12:00:00 AM",T3,Arrival,International,17275
"2018, April 18, Wednesday 03:12:41 PM","2006, January 01, Sunday 12:00:00 AM",T6,Departure,International,5567
"2020, January 22, Wednesday 06:57:11 AM","2019, December 01, Sunday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,119353
"2021, January 10, Sunday 06:01:37 AM","2020, November 01, Sunday 12:00:00 AM",TBIT,Arrival,Domestic,515
"2018, April 18, Wednesday 03:12:41 PM","2013, March 01, Friday 12:00:00 AM",T2,Arrival,International,172925
"2018, April 18, Wednesday 03:12:41 PM","2009, June 01, Monday 12:00:00 AM",TBIT,Departure,Domestic,6470
"2018, April 18, Wednesday 03:12:41 PM","2010, January 01, Friday 12:00:00 AM",T1,Arrival,Domestic,335141
"2018, April 18, Wednesday 03:12:41 PM","2018, February 01, Thursday 12:00:00 AM",T7,Departure,Domestic,294087
"2018, April 18, Wednesday 03:12:41 PM","2016, April 01, Friday 12:00:00 AM",T2,Departure,International,163856
"2019, November 10, Sunday 06:01:31 AM","2019, September 01, Sunday 12:00:00 AM",T4,Departure,Domestic,329840
"2018, April 18, Wednesday 03:12:41 PM","2012, January 01, Sunday 12:00:00 AM",Imperial Terminal,Departure,International,0
"2018, April 18, Wednesday 03:12:41 PM","2008, December 01, Monday 12:00:00 AM",T3,Arrival,Domestic,150150
"2018, April 18, Wednesday 03:12:41 PM","2014, August 01, Friday 12:00:00 AM",TBIT,Arrival,Domestic,14256
"2018, April 18, Wednesday 03:12:41 PM","2007, August 01, Wednesday 12:00:00 AM",T6,Arrival,International,1347
"2018, April 18, Wednesday 03:12:41 PM","2012, October 01, Monday 12:00:00 AM",T8,Departure,Domestic,127619
"2018, April 18, Wednesday 03:12:41 PM","2011, April 01, Friday 12:00:00 AM",T4,Arrival,International,17554
"2018, April 18, Wednesday 03:12:41 PM","2009, May 01, Friday 12:00:00 AM",T4,Arrival,International,33174
"2018, April 18, Wednesday 03:12:41 PM","2014, July 01, Tuesday 12:00:00 AM",T3,Departure,International,2969
"2018, August 21, Tuesday 11:02:45 AM","2018, July 01, Sunday 12:00:00 AM",T8,Departure,Domestic,184786
"2018, April 18, Wednesday 03:12:41 PM","2014, January 01, Wednesday 12:00:00 AM",T8,Arrival,Domestic,108836
"2018, April 18, Wednesday 03:12:41 PM","2006, September 01, Friday 12:00:00 AM",T1,Departure,International,114
"2018, April 18, Wednesday 03:12:41 PM","2007, January 01, Monday 12:00:00 AM",T4,Departure,International,45294
"2018, April 18, Wednesday 03:12:41 PM","2009, January 01, Thursday 12:00:00 AM",T8,Arrival,International,4066
"2018, April 18, Wednesday 03:12:41 PM","2008, December 01, Monday 12:00:00 AM",TBIT,Arrival,International,391091
"2018, April 18, Wednesday 03:12:41 PM","2012, September 01, Saturday 12:00:00 AM",T5,Departure,International,18979
"2018, September 26, Wednesday 09:27:08 AM","2018, August 01, Wednesday 12:00:00 AM",T4,Departure,Domestic,364655
"2019, April 10, Wednesday 06:01:25 AM","2019, March 01, Friday 12:00:00 AM",T7,Departure,Domestic,367998
"2018, October 29, Monday 10:20:51 AM","2018, September 01, Saturday 12:00:00 AM",T6,Arrival,International,76992
"2018, April 18, Wednesday 03:12:41 PM","2013, July 01, Monday 12:00:00 AM",T2,Arrival,International,257753
"2018, April 18, Wednesday 03:12:41 PM","2017, November 01, Wednesday 12:00:00 AM",T8,Departure,Domestic,126543
"2018, April 18, Wednesday 03:12:41 PM","2009, August 01, Saturday 12:00:00 AM",T6,Arrival,Domestic,261450
"2018, April 18, Wednesday 03:12:41 PM","2017, May 01, Monday 12:00:00 AM",T2,Arrival,Domestic,132561
"2018, April 18, Wednesday 03:12:41 PM","2017, August 01, Tuesday 12:00:00 AM",T2,Departure,Domestic,299602
"2018, April 18, Wednesday 03:12:41 PM","2016, November 01, Tuesday 12:00:00 AM",T2,Departure,International,196856
"2018, April 18, Wednesday 03:12:41 PM","2007, April 01, Sunday 12:00:00 AM",T4,Departure,International,46986
"2018, April 18, Wednesday 03:12:41 PM","2006, June 01, Thursday 12:00:00 AM",T7,Arrival,Domestic,296558
"2018, April 18, Wednesday 03:12:41 PM","2006, September 01, Friday 12:00:00 AM",T7,Departure,Domestic,240262
"2018, April 18, Wednesday 03:12:41 PM","2014, May 01, Thursday 12:00:00 AM",TBIT,Arrival,Domestic,7162
"2018, April 18, Wednesday 03:12:41 PM","2012, June 01, Friday 12:00:00 AM",T7,Arrival,Domestic,149056
"2018, April 18, Wednesday 03:12:41 PM","2008, May 01, Thursday 12:00:00 AM",T8,Arrival,Domestic,112646
"2018, April 18, Wednesday 03:12:41 PM","2007, February 01, Thursday 12:00:00 AM",T4,Arrival,International,51318
"2018, April 18, Wednesday 03:12:41 PM","2013, April 01, Monday 12:00:00 AM",T2,Arrival,International,174074
"2018, April 18, Wednesday 03:12:41 PM","2016, February 01, Monday 12:00:00 AM",T8,Arrival,Domestic,146226
"2018, April 18, Wednesday 03:12:41 PM","2007, June 01, Friday 12:00:00 AM",T7,Arrival,Domestic,261849
"2018, April 18, Wednesday 03:12:41 PM","2017, March 01, Wednesday 12:00:00 AM",T6,Departure,Domestic,332284
"2018, April 18, Wednesday 03:12:41 PM","2016, July 01, Friday 12:00:00 AM",T5,Arrival,International,78781
"2018, April 18, Wednesday 03:12:41 PM","2016, July 01, Friday 12:00:00 AM",T5,Departure,Domestic,478348
"2018, April 18, Wednesday 03:12:41 PM","2014, May 01, Thursday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,75856
"2020, April 08, Wednesday 09:58:08 AM","2020, February 01, Saturday 12:00:00 AM",T7,Departure,International,24943
"2018, April 18, Wednesday 03:12:41 PM","2011, August 01, Monday 12:00:00 AM",T2,Arrival,Domestic,28170
"2018, April 18, Wednesday 03:12:41 PM","2006, February 01, Wednesday 12:00:00 AM",Imperial Terminal,Arrival,Domestic,200
"2018, April 18, Wednesday 03:12:41 PM","2011, July 01, Friday 12:00:00 AM",T2,Departure,Domestic,30442
"2018, April 18, Wednesday 03:12:41 PM","2007, February 01, Thursday 12:00:00 AM",T4,Arrival,Domestic,355011
"2019, September 10, Tuesday 06:01:34 AM","2019, August 01, Thursday 12:00:00 AM",T8,Departure,International,9461
"2018, April 18, Wednesday 03:12:41 PM","2006, November 01, Wednesday 12:00:00 AM",T1,Departure,Domestic,410856
"2018, April 18, Wednesday 03:12:41 PM","2016, May 01, Sunday 12:00:00 AM",T8,Departure,Domestic,172912
"2018, April 18, Wednesday 03:12:41 PM","2012, September 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,148
"2018, April 18, Wednesday 03:12:41 PM","2006, April 01, Saturday 12:00:00 AM",T7,Arrival,Domestic,269491
"2019, August 23, Friday 03:41:00 PM","2019, July 01, Monday 12:00:00 AM",T7,Arrival,Domestic,387166
"2020, January 02, Thursday 10:43:42 AM","2019, November 01, Friday 12:00:00 AM",T5,Departure,International,399
"2018, April 18, Wednesday 03:12:41 PM","2016, September 01, Thursday 12:00:00 AM",TBIT,Arrival,International,608414
"2018, April 18, Wednesday 03:12:41 PM","2017, September 01, Friday 12:00:00 AM",T8,Departure,Domestic,127046
"2018, April 18, Wednesday 03:12:41 PM","2015, April 01, Wednesday 12:00:00 AM",TBIT,Departure,International,421926
"2018, August 10, Friday 06:01:24 AM","2018, June 01, Friday 12:00:00 AM",Miscellaneous Terminal,Departure,International,6701
"2018, April 18, Wednesday 03:12:41 PM","2011, August 01, Monday 12:00:00 AM",T5,Departure,International,31608
"2018, April 18, Wednesday 03:12:41 PM","2009, January 01, Thursday 12:00:00 AM",T7,Arrival,International,20459
"2018, April 18, Wednesday 03:12:41 PM","2016, October 01, Saturday 12:00:00 AM",T5,Arrival,International,59011
"2018, September 26, Wednesday 09:27:08 AM","2018, August 01, Wednesday 12:00:00 AM",T7,Arrival,International,83477
"2018, April 18, Wednesday 03:12:41 PM","2014, April 01, Tuesday 12:00:00 AM",T5,Departure,International,30590
"2018, April 18, Wednesday 03:12:41 PM","2006, July 01, Saturday 12:00:00 AM",T4,Departure,International,55251
"2018, April 18, Wednesday 03:12:41 PM","2009, September 01, Tuesday 12:00:00 AM",T7,Departure,Domestic,243362
"2019, November 10, Sunday 06:01:31 AM","2019, September 01, Sunday 12:00:00 AM",TBIT,Arrival,International,754708
"2018, August 10, Friday 06:01:24 AM","2018, June 01, Friday 12:00:00 AM",TBIT,Departure,International,798427
"2018, April 18, Wednesday 03:12:41 PM","2009, May 01, Friday 12:00:00 AM",T7,Departure,International,24643
"2018, April 18, Wednesday 03:12:41 PM","2006, April 01, Saturday 12:00:00 AM",T2,Departure,Domestic,103348
"2020, January 02, Thursday 10:43:42 AM","2019, November 01, Friday 12:00:00 AM",T5,Arrival,International,329
"2018, April 18, Wednesday 03:12:41 PM","2013, November 01, Friday 12:00:00 AM",T1,Departure,Domestic,385177
"2018, April 18, Wednesday 03:12:41 PM","2013, June 01, Saturday 12:00:00 AM",T8,Departure,Domestic,131149
"2018, April 18, Wednesday 03:12:41 PM","2008, April 01, Tuesday 12:00:00 AM",T8,Departure,International,4765
"2018, April 18, Wednesday 03:12:41 PM","2006, December 01, Friday 12:00:00 AM",T2,Departure,Domestic,102761
"2020, February 28, Friday 08:21:30 AM","2020, January 01, Wednesday 12:00:00 AM",T2,Departure,Domestic,244857
"2019, March 01, Friday 11:09:59 AM","2019, January 01, Tuesday 12:00:00 AM",Miscellaneous Terminal,Departure,International,5946
"2018, April 18, Wednesday 03:12:41 PM","2014, August 01, Friday 12:00:00 AM",T2,Arrival,International,237639
"2018, April 18, Wednesday 03:12:41 PM","2013, March 01, Friday 12:00:00 AM",T8,Departure,Domestic,107813
"2018, April 18, Wednesday 03:12:41 PM","2007, March 01, Thursday 12:00:00 AM",T4,Departure,Domestic,428781
"2018, April 18, Wednesday 03:12:41 PM","2016, October 01, Saturday 12:00:00 AM",TBIT,Departure,Domestic,40749
"2018, April 18, Wednesday 03:12:41 PM","2011, July 01, Friday 12:00:00 AM",T3,Departure,Domestic,283971
"2018, April 18, Wednesday 03:12:41 PM","2010, March 01, Monday 12:00:00 AM",T5,Departure,Domestic,250103
"2018, April 18, Wednesday 03:12:41 PM","2012, March 01, Thursday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,122
"2018, April 18, Wednesday 03:12:41 PM","2013, January 01, Tuesday 12:00:00 AM",T6,Departure,International,74697
"2018, April 18, Wednesday 03:12:41 PM","2009, June 01, Monday 12:00:00 AM",T5,Arrival,International,8585
"2018, April 18, Wednesday 03:12:41 PM","2013, March 01, Friday 12:00:00 AM",T5,Arrival,International,41176
"2019, March 01, Friday 11:09:59 AM","2019, January 01, Tuesday 12:00:00 AM",T2,Departure,International,76902
"2018, April 18, Wednesday 03:12:41 PM","2008, April 01, Tuesday 12:00:00 AM",T3,Departure,International,55440
"2019, March 14, Thursday 06:45:08 AM","2019, February 01, Friday 12:00:00 AM",T7,Arrival,Domestic,276340
"2018, April 18, Wednesday 03:12:41 PM","2008, November 01, Saturday 12:00:00 AM",TBIT,Arrival,Domestic,4960
"2018, April 18, Wednesday 03:12:41 PM","2010, May 01, Saturday 12:00:00 AM",T6,Arrival,Domestic,259682
"2018, April 18, Wednesday 03:12:41 PM","2009, August 01, Saturday 12:00:00 AM",T6,Departure,Domestic,252676
