DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
09/01/2023 12:00:48 AM,Jul 2023,Arrival,International,Freight,80071
09/01/2023 12:00:48 AM,Jul 2023,Departure,International,Freight,50406
08/30/2022 11:02:17 AM,Jul 2022,Arrival,Domestic,Mail,3374
08/30/2022 11:02:17 AM,Jul 2022,Arrival,International,Mail,719
08/30/2022 11:02:17 AM,Jul 2022,Departure,Domestic,Freight,32282
08/30/2022 11:02:17 AM,Jul 2022,Arrival,Domestic,Freight,36637
11/30/2023 04:52:29 AM,Sep 2023,Departure,Domestic,Freight,32624
08/30/2022 11:02:17 AM,Jul 2022,Departure,International,Mail,431
11/18/2023 05:28:20 AM,Oct 2023,Arrival,Domestic,Freight,32967
11/18/2023 05:28:20 AM,Oct 2023,Departure,International,Mail,361
08/30/2022 11:02:17 AM,Jun 2022,Arrival,International,Mail,640
11/18/2023 05:28:20 AM,Oct 2023,Departure,Domestic,Freight,32827
11/18/2023 05:28:20 AM,Oct 2023,Arrival,International,Freight,87673
08/30/2022 11:02:17 AM,Jul 2022,Departure,Domestic,Mail,5309
01/31/2022 03:01:29 PM,Dec 2021,Departure,Domestic,Mail,7834
01/31/2022 03:01:29 PM,Dec 2021,Departure,International,Mail,614
01/31/2022 03:01:29 PM,Nov 2021,Arrival,International,Freight,105462
01/31/2022 03:01:29 PM,Dec 2021,Departure,International,Freight,56572
01/31/2022 03:01:29 PM,Dec 2021,Arrival,International,Mail,891
01/31/2022 03:01:29 PM,Dec 2021,Arrival,Domestic,Mail,4564
01/10/2022 06:01:08 AM,Oct 2021,Departure,International,Freight,61305
01/31/2022 03:01:29 PM,Dec 2021,Arrival,International,Freight,102227
01/10/2022 06:01:08 AM,Oct 2021,Arrival,International,Freight,104723
01/31/2022 03:01:29 PM,Nov 2021,Departure,International,Freight,54102
04/01/2022 12:00:18 AM,Feb 2022,Arrival,International,Mail,688
04/01/2022 12:00:18 AM,Feb 2022,Departure,International,Mail,604
07/01/2022 12:00:22 AM,May 2022,Arrival,International,Mail,697
11/18/2023 05:28:20 AM,Oct 2023,Departure,Domestic,Mail,3348
04/01/2022 12:00:18 AM,Feb 2022,Arrival,Domestic,Mail,2521
11/18/2023 05:28:20 AM,Oct 2023,Arrival,Domestic,Mail,1051
04/01/2022 12:00:18 AM,Feb 2022,Departure,Domestic,Mail,5181
05/01/2022 12:00:25 AM,Feb 2022,Departure,Domestic,Freight,36688
05/01/2022 12:00:25 AM,Mar 2022,Departure,Domestic,Freight,41683
05/01/2022 12:00:25 AM,Nov 2021,Arrival,Domestic,Freight,46863
05/01/2022 12:00:25 AM,Jan 2022,Arrival,Domestic,Freight,43509
05/01/2022 12:00:25 AM,Mar 2022,Arrival,Domestic,Mail,3008
05/01/2022 12:00:25 AM,Jan 2022,Departure,Domestic,Freight,36290
05/01/2022 12:00:25 AM,Oct 2021,Arrival,Domestic,Freight,45427
05/01/2022 12:00:25 AM,Mar 2022,Arrival,Domestic,Freight,42506
05/01/2022 12:00:25 AM,Dec 2021,Departure,Domestic,Freight,43107
05/01/2022 12:00:25 AM,Mar 2022,Departure,Domestic,Mail,5428
05/01/2022 12:00:25 AM,Mar 2022,Arrival,International,Mail,722
05/01/2022 12:00:25 AM,Sep 2021,Departure,Domestic,Freight,38708
05/01/2022 12:00:25 AM,Oct 2021,Departure,Domestic,Freight,38080
05/01/2022 12:00:25 AM,Nov 2021,Departure,Domestic,Freight,38876
05/01/2022 12:00:25 AM,Dec 2021,Arrival,Domestic,Freight,47536
05/01/2022 12:00:25 AM,Sep 2021,Arrival,Domestic,Freight,43806
05/01/2022 12:00:25 AM,Mar 2022,Departure,International,Mail,485
05/01/2022 12:00:25 AM,Feb 2022,Arrival,Domestic,Freight,38821
07/01/2022 12:00:22 AM,May 2022,Departure,International,Mail,609
07/28/2022 09:31:00 AM,May 2022,Arrival,Domestic,Mail,3652
07/28/2022 09:31:00 AM,May 2022,Departure,Domestic,Mail,5716
07/28/2022 09:31:00 AM,May 2022,Departure,Domestic,Freight,35308
07/28/2022 09:31:00 AM,Jun 2022,Departure,Domestic,Freight,35344
07/28/2022 09:31:00 AM,Jun 2022,Departure,Domestic,Mail,5655
07/28/2022 09:31:00 AM,May 2022,Arrival,Domestic,Freight,37996
07/28/2022 09:31:00 AM,Jun 2022,Arrival,Domestic,Freight,39753
07/28/2022 09:31:00 AM,Jun 2022,Arrival,Domestic,Mail,3944
04/18/2018 03:12:41 PM,Feb 2013,Arrival,International,Mail,533
04/18/2018 03:12:41 PM,Jun 2008,Departure,Domestic,Mail,2166
04/18/2018 03:12:41 PM,Mar 2007,Departure,International,Mail,1241
11/18/2023 05:28:20 AM,Oct 2023,Arrival,International,Mail,835
06/01/2020 07:57:59 AM,Apr 2020,Arrival,International,Mail,824
04/18/2018 03:12:41 PM,May 2017,Arrival,Domestic,Mail,2813
04/18/2018 03:12:41 PM,Dec 2007,Departure,International,Freight,34488
04/18/2018 03:12:41 PM,Mar 2008,Arrival,Domestic,Freight,32797
04/18/2018 03:12:41 PM,Oct 2012,Departure,Domestic,Freight,35869
02/28/2020 08:21:30 AM,Jan 2020,Departure,International,Mail,1821
04/18/2018 03:12:41 PM,Sep 2016,Arrival,International,Mail,1177
04/18/2018 03:12:41 PM,Nov 2017,Arrival,International,Mail,1394
02/02/2021 08:17:02 AM,Dec 2020,Departure,International,Freight,51822
04/18/2018 03:12:41 PM,Sep 2010,Arrival,Domestic,Mail,1356
04/18/2018 03:12:41 PM,Oct 2015,Departure,Domestic,Mail,2710
02/28/2020 08:21:30 AM,Jan 2020,Arrival,International,Mail,1192
04/18/2018 03:12:41 PM,Sep 2008,Arrival,Domestic,Freight,26989
04/18/2018 03:12:41 PM,Jul 2013,Arrival,International,Mail,782
07/11/2018 02:24:22 PM,May 2018,Departure,International,Mail,1035
04/18/2018 03:12:41 PM,Aug 2015,Arrival,International,Freight,58453
04/18/2018 03:12:41 PM,Jun 2011,Departure,International,Freight,45423
04/18/2018 03:12:41 PM,Mar 2006,Departure,Domestic,Mail,3836
04/18/2018 03:12:41 PM,Jun 2012,Departure,International,Mail,1806
04/18/2018 03:12:41 PM,Jan 2014,Departure,Domestic,Mail,2312
04/18/2018 03:12:41 PM,Mar 2011,Arrival,International,Mail,537
04/18/2018 03:12:41 PM,Jun 2010,Departure,International,Mail,1718
04/18/2018 03:12:41 PM,Sep 2016,Departure,International,Mail,996
04/18/2018 03:12:41 PM,Apr 2015,Arrival,International,Freight,59639
04/18/2018 03:12:41 PM,Nov 2015,Arrival,International,Freight,66886
04/18/2018 03:12:41 PM,Aug 2013,Departure,International,Freight,42407
04/18/2018 03:12:41 PM,Apr 2011,Arrival,International,Mail,514
04/18/2018 03:12:41 PM,Aug 2013,Arrival,Domestic,Freight,29052
04/18/2018 03:12:41 PM,May 2017,Departure,Domestic,Freight,39177
04/18/2018 03:12:41 PM,Jul 2009,Arrival,Domestic,Mail,1261
12/26/2018 06:52:40 AM,Nov 2018,Departure,Domestic,Freight,41529
04/18/2018 03:12:41 PM,Jul 2012,Departure,Domestic,Mail,2665
04/18/2018 03:12:41 PM,Mar 2014,Arrival,International,Freight,53873
04/18/2018 03:12:41 PM,Mar 2018,Departure,Domestic,Mail,3621
04/18/2018 03:12:41 PM,Apr 2007,Arrival,International,Mail,722
04/18/2018 03:12:41 PM,Dec 2017,Departure,International,Mail,1480
04/18/2018 03:12:41 PM,Mar 2014,Departure,International,Freight,46565
04/18/2018 03:12:41 PM,Apr 2016,Arrival,Domestic,Mail,1748
04/18/2018 03:12:41 PM,Jul 2016,Arrival,International,Mail,2515
01/02/2020 10:43:42 AM,Nov 2019,Departure,International,Freight,47075
04/18/2018 03:12:41 PM,Jul 2012,Departure,International,Mail,2746
04/18/2018 03:12:41 PM,Jul 2006,Departure,Domestic,Freight,38969
04/18/2018 03:12:41 PM,Jan 2018,Departure,Domestic,Freight,35259
04/18/2018 03:12:41 PM,Dec 2015,Arrival,International,Freight,55744
04/18/2018 03:12:41 PM,Jun 2017,Departure,Domestic,Freight,38842
04/18/2018 03:12:41 PM,Jan 2011,Departure,Domestic,Mail,2517
04/18/2018 03:12:41 PM,Oct 2008,Departure,Domestic,Freight,33840
04/18/2018 03:12:41 PM,Dec 2010,Arrival,International,Mail,673
04/18/2018 03:12:41 PM,Sep 2017,Departure,Domestic,Freight,36303
04/18/2018 03:12:41 PM,Sep 2013,Arrival,Domestic,Freight,27181
04/18/2018 03:12:41 PM,Oct 2009,Arrival,Domestic,Freight,30781
04/18/2018 03:12:41 PM,Nov 2013,Arrival,Domestic,Freight,29972
04/18/2018 03:12:41 PM,Sep 2009,Departure,International,Freight,31821
04/18/2018 03:12:41 PM,Apr 2010,Departure,Domestic,Freight,31904
04/18/2018 03:12:41 PM,Aug 2007,Arrival,International,Mail,743
04/18/2018 03:12:41 PM,Feb 2014,Arrival,Domestic,Freight,25403
07/11/2018 02:24:22 PM,May 2018,Departure,Domestic,Mail,3309
03/03/2021 10:48:12 AM,Jan 2021,Arrival,International,Mail,987
04/18/2018 03:12:41 PM,Apr 2014,Arrival,Domestic,Mail,1762
09/26/2018 09:27:08 AM,Aug 2018,Arrival,International,Mail,1506
04/18/2018 03:12:41 PM,Aug 2013,Departure,International,Mail,1760
04/18/2018 03:12:41 PM,Apr 2007,Departure,International,Mail,1106
04/18/2018 03:12:41 PM,Jun 2008,Arrival,Domestic,Freight,30450
04/18/2018 03:12:41 PM,Nov 2010,Departure,International,Freight,35626
04/18/2018 03:12:41 PM,Apr 2014,Arrival,International,Freight,50368
04/18/2018 03:12:41 PM,Dec 2016,Departure,Domestic,Freight,39927
04/18/2018 03:12:41 PM,Jul 2008,Arrival,Domestic,Mail,1778
04/18/2018 03:12:41 PM,May 2011,Arrival,Domestic,Mail,1456
04/18/2018 03:12:41 PM,Dec 2007,Arrival,Domestic,Mail,1899
04/18/2018 03:12:41 PM,Dec 2008,Arrival,Domestic,Mail,1583
04/18/2018 03:12:41 PM,Feb 2011,Departure,International,Freight,33970
04/18/2018 03:12:41 PM,Nov 2011,Arrival,Domestic,Freight,30861
04/18/2018 03:12:41 PM,May 2017,Departure,International,Mail,991
04/29/2019 01:10:30 PM,Mar 2019,Arrival,Domestic,Freight,31626
04/18/2018 03:12:41 PM,Aug 2010,Departure,Domestic,Freight,30863
04/18/2018 03:12:41 PM,Sep 2015,Arrival,International,Freight,59733
04/18/2018 03:12:41 PM,Dec 2006,Departure,International,Freight,34810
04/08/2020 09:58:08 AM,Feb 2020,Departure,Domestic,Freight,29400
04/18/2018 03:12:41 PM,Feb 2008,Arrival,Domestic,Mail,1516
04/18/2018 03:12:41 PM,Jan 2016,Departure,Domestic,Freight,34011
04/18/2018 03:12:41 PM,Jan 2008,Departure,Domestic,Freight,34816
01/02/2020 10:43:42 AM,Nov 2019,Departure,Domestic,Mail,5044
04/18/2018 03:12:41 PM,Nov 2008,Arrival,International,Freight,41597
04/18/2018 03:12:41 PM,Aug 2009,Arrival,International,Freight,44113
04/18/2018 03:12:41 PM,Feb 2016,Departure,International,Mail,1034
04/18/2018 03:12:41 PM,Oct 2013,Departure,International,Freight,41518
04/18/2018 03:12:41 PM,Oct 2006,Arrival,International,Freight,61191
04/18/2018 03:12:41 PM,Jan 2016,Arrival,International,Freight,50235
04/18/2018 03:12:41 PM,Mar 2010,Departure,Domestic,Freight,33073
04/18/2018 03:12:41 PM,Apr 2006,Arrival,Domestic,Mail,2536
04/18/2018 03:12:41 PM,Jan 2013,Departure,International,Freight,35133
06/29/2020 07:20:39 AM,Apr 2020,Departure,Domestic,Freight,30092
04/18/2018 03:12:41 PM,Dec 2017,Arrival,International,Mail,2175
04/18/2018 03:12:41 PM,Jul 2008,Arrival,Domestic,Freight,29301
04/18/2018 03:12:41 PM,Apr 2006,Departure,Domestic,Freight,40440
04/18/2018 03:12:41 PM,Feb 2012,Departure,Domestic,Mail,2404
04/18/2018 03:12:41 PM,Feb 2016,Arrival,International,Mail,1082
04/18/2018 03:12:41 PM,Sep 2012,Departure,Domestic,Mail,2661
04/18/2018 03:12:41 PM,Sep 2014,Arrival,International,Mail,931
04/18/2018 03:12:41 PM,Sep 2006,Departure,Domestic,Freight,38434
11/26/2019 01:26:41 PM,Oct 2019,Departure,Domestic,Freight,34093
