Report_Period,Domestic_International,average_tons
"2021,December",Domestic,26050.000000000000
"2020,December",Domestic,25738.500000000000
"2021,October",Domestic,25532.000000000000
"2021,December",Domestic,25470.500000000000
"2021,November",Domestic,25101.500000000000
"2021,July",Domestic,24911.000000000000
"2021,May",Domestic,24660.500000000000
"2018,December",Domestic,24565.500000000000
"2021,March",Domestic,24560.500000000000
"2006,March",Domestic,24210.000000000000
